session_id,products,num_items
00004ada-8f93-49a6-956d-4ed71ae94791,"1005031,1005031",2
0000de39-dc74-414d-8da6-83ad56135bf5,"1004246,1002544,1004767,1004833",4
000174ac-0ea3-4026-8dfd-cd0bed476450,"1004767,1004767",2
0002b07c-85cd-46e7-b7d2-20864fbafea7,"1004776,1004776",2
00033d57-3cf1-448d-bbdf-af1e403d9acb,"1002633,1002633,1002633,1002633,1002633",5
00035c16-00bf-49ae-aa1f-4c8f8c82a7de,"1004767,1004767",2
0004c309-ff34-44be-9c05-82a0465b001b,"12100456,6300739",2
0006ca24-345c-4c0b-b901-f76b2c959103,"4700478,1005141",2
0009879c-52d1-4f12-93c4-cfe16bb48ead,"1802010,1802010",2
0009dd16-a78c-4e7b-8c60-06cce022e718,"1005105,1005115",2
000c061a-19a8-4f0e-9ee6-a377afb29aa1,"12703015,12703015,12703015",3
000d6c2b-c3cf-4d77-b16f-ec6a7718fbfa,"1004856,1004833",2
000f5f3d-e959-49c1-851c-ead11ce70c30,"5100816,5100503",2
000fe1bf-f5a7-4a83-8a9d-68eb699c94ac,"1005015,1005016",2
0010e205-3e71-4663-9c4e-a95bb488c859,"1004833,1004856,1004856",3
0011d150-5aee-4254-ad68-cd6117545908,"1003306,1003306",2
001241fc-cc39-4648-bde9-9558213e49c7,"1005133,26401046",2
00125845-5a3c-4cc4-afc3-7a8abda973a2,"1005135,1005106",2
001283a2-d6de-49cc-9003-ee96689fa785,"3800819,3800819",2
00138a81-c07f-44a5-b087-a62c25d7e2d6,"3600666,3600666",2
0014698f-1bd6-4589-a867-89ebefd0600f,"1004873,1003535",2
001868b0-06b7-40a6-88ab-71316d66990b,"1004767,1004209",2
0018d20b-1ec1-42ae-b6db-3e5ec0b622ac,"1002544,1002544",2
00191fff-e9ac-4357-8870-7789053163c1,"12703015,1002629,1004833",3
00196fe7-3926-4eb7-885b-9be06b362024,"26300510,26300509",2
